time,river_level (m)
2022-04-01 11:16:00+00:00,1.395
2022-04-01 12:15:52+00:00,1.405
2022-04-01 13:15:50+00:00,1.405
2022-04-01 14:16:33+00:00,1.385
2022-04-01 15:16:53+00:00,1.395
2022-04-01 17:16:52+00:00,1.395
2022-04-01 18:16:56+00:00,1.385
2022-04-01 19:16:53+00:00,1.335
2022-04-01 20:17:03+00:00,1.395
2022-04-01 21:16:54+00:00,1.385
2022-04-01 22:16:52+00:00,1.375
2022-04-01 23:16:52+00:00,1.365
2022-04-02 00:16:52+00:00,1.365
2022-04-02 01:16:52+00:00,1.355
2022-04-02 02:16:55+00:00,1.345
2022-04-02 03:16:56+00:00,1.325
2022-04-02 04:16:55+00:00,1.315
2022-04-02 05:16:55+00:00,1.335
2022-04-02 06:16:53+00:00,1.355
2022-04-02 07:17:35+00:00,1.365
2022-04-02 08:17:53+00:00,1.375
2022-04-02 09:17:55+00:00,1.375
2022-04-02 10:18:01+00:00,1.395
2022-04-02 11:17:54+00:00,1.405
2022-04-02 12:17:55+00:00,1.405
2022-04-02 13:17:59+00:00,1.395
2022-04-02 14:18:00+00:00,1.385
2022-04-02 15:17:55+00:00,1.395
2022-04-02 16:18:36+00:00,1.375
2022-04-02 17:18:57+00:00,1.395
2022-04-02 18:18:58+00:00,1.405
2022-04-02 19:18:55+00:00,1.395
2022-04-02 20:19:03+00:00,1.365
2022-04-02 21:18:56+00:00,1.375
2022-04-02 22:19:02+00:00,1.395
2022-04-02 23:18:57+00:00,1.405
2022-04-03 00:18:57+00:00,1.405
2022-04-03 01:18:57+00:00,1.395
2022-04-03 02:19:03+00:00,1.395
2022-04-03 03:19:03+00:00,1.395
2022-04-03 04:19:00+00:00,1.385
2022-04-03 05:18:58+00:00,1.415
2022-04-03 06:18:59+00:00,1.395
2022-04-03 07:19:00+00:00,1.425
2022-04-03 08:18:59+00:00,1.435
2022-04-03 09:19:42+00:00,1.415
2022-04-03 10:19:56+00:00,1.385
2022-04-03 11:19:56+00:00,1.365
2022-04-03 12:20:00+00:00,1.345
2022-04-03 13:20:01+00:00,1.305
2022-04-03 14:20:04+00:00,1.305
2022-04-03 15:19:59+00:00,1.345
2022-04-03 16:20:02+00:00,1.335
2022-04-03 17:19:59+00:00,1.835
2022-04-03 18:20:01+00:00,1.325
2022-04-03 19:19:59+00:00,1.315
2022-04-03 20:20:02+00:00,1.305
2022-04-03 21:20:00+00:00,1.305
2022-04-03 22:20:02+00:00,1.305
2022-04-03 23:20:01+00:00,1.305
2022-04-04 00:19:59+00:00,1.305
2022-04-04 01:20:01+00:00,1.305
2022-04-04 02:20:01+00:00,1.305
2022-04-04 03:20:02+00:00,1.305
2022-04-04 04:20:02+00:00,1.305
2022-04-04 05:20:03+00:00,1.305
2022-04-04 06:19:58+00:00,1.305
2022-04-04 07:20:00+00:00,1.305
2022-04-04 08:20:12+00:00,1.305
2022-04-04 09:20:02+00:00,1.305
2022-04-04 10:20:00+00:00,1.305
2022-04-04 11:20:02+00:00,1.305
2022-04-04 12:20:25+00:00,1.305
2022-04-04 13:21:05+00:00,1.305
2022-04-04 14:21:00+00:00,1.305
2022-04-04 15:21:03+00:00,1.305
2022-04-04 16:21:04+00:00,1.305
2022-04-04 17:21:01+00:00,1.305
2022-04-04 18:21:02+00:00,1.305
2022-04-04 19:21:09+00:00,1.305
2022-04-04 20:21:19+00:00,1.305
2022-04-04 21:21:00+00:00,1.305
2022-04-04 22:21:02+00:00,1.305
2022-04-04 23:21:03+00:00,1.305
2022-04-05 00:21:02+00:00,1.305
2022-04-05 01:21:01+00:00,1.305
2022-04-05 02:21:00+00:00,1.305
2022-04-05 03:21:04+00:00,1.305
2022-04-05 04:21:04+00:00,1.305
2022-04-05 06:21:04+00:00,1.305
2022-04-05 07:21:12+00:00,1.305
2022-04-05 08:21:05+00:00,1.305
2022-04-05 09:21:04+00:00,1.305
2022-04-05 10:21:03+00:00,1.305
2022-04-05 11:21:04+00:00,1.305
2022-04-05 12:21:00+00:00,1.305
2022-04-05 13:21:03+00:00,1.305
2022-04-05 14:21:06+00:00,1.305
2022-04-05 15:21:49+00:00,1.305
2022-04-05 16:22:02+00:00,1.305
2022-04-05 18:22:03+00:00,1.305
2022-04-05 19:22:04+00:00,1.305
2022-04-05 20:22:05+00:00,1.305
2022-04-05 21:22:04+00:00,1.305
2022-04-05 22:22:06+00:00,1.305
2022-04-05 23:22:03+00:00,1.305
2022-04-06 00:22:11+00:00,1.305
2022-04-06 01:22:05+00:00,1.305
2022-04-06 02:22:03+00:00,1.305
2022-04-06 03:22:05+00:00,1.305
2022-04-06 04:22:04+00:00,1.305
2022-04-06 05:22:07+00:00,1.305
2022-04-06 06:22:02+00:00,1.305
2022-04-06 07:22:01+00:00,1.305
2022-04-06 08:22:00+00:00,1.305
2022-04-06 09:22:02+00:00,1.305
2022-04-06 10:22:04+00:00,1.305
2022-04-06 11:22:05+00:00,1.305
2022-04-06 13:22:07+00:00,1.305
2022-04-06 14:22:11+00:00,1.305
2022-04-06 15:22:05+00:00,1.305
2022-04-06 16:22:07+00:00,1.305
2022-04-06 17:22:17+00:00,1.305
2022-04-06 18:22:10+00:00,1.305
2022-04-06 19:22:06+00:00,1.305
2022-04-06 20:22:06+00:00,1.305
2022-04-06 21:22:08+00:00,1.305
2022-04-06 22:22:04+00:00,1.305
2022-04-06 23:22:04+00:00,1.305
2022-04-07 00:22:08+00:00,1.305
2022-04-07 01:22:07+00:00,1.305
2022-04-07 02:22:06+00:00,1.305
2022-04-07 03:22:07+00:00,1.305
2022-04-07 04:22:08+00:00,1.305
2022-04-07 06:22:06+00:00,1.305
2022-04-07 07:22:06+00:00,1.305
2022-04-07 08:22:08+00:00,1.305
2022-04-07 09:22:06+00:00,1.305
2022-04-07 10:22:07+00:00,1.305
2022-04-07 11:22:04+00:00,1.305
